Code;Parent;NUTS-Code;Description
20330;20320.0;TR41;Bursa, Eskişehir, Bilecik
20370;20320.0;TR42;Kocaeli, Sakarya, Düzce, Bolu, Yalova
20440;20430.0;TR51;Ankara
20460;20430.0;TR52;Konya, Karaman
20500;20490.0;TR61;Antalya, Isparta, Burdur
20540;20490.0;TR62;Adana, Mersin
20570;20490.0;TR63;Hatay, Kahramanmaraş, Osmaniye
20620;20610.0;TR71;Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir
20680;20610.0;TR72;Kayseri, Sivas, Yozgat
20730;20720.0;TR81;Zonguldak, Karabük, Bartın
20770;20720.0;TR82;Kastamonu, Çankırı, Sinop
20810;20720.0;TR83;Samsun, Tokat, Çorum, Amasya
20870;20860.0;TR90;Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane
20950;20940.0;TRA1;Erzurum, Erzincan, Bayburt
20990;20940.0;TRA2;Ağrı, Kars, Iğdır, Ardahan
21050;21040.0;TRB1;Malatya, Elazığ, Bingöl, Tunceli
21100;21040.0;TRB2;Van, Muş, Bitlis, Hakkari
21160;21150.0;TRC1;Gaziantep, Adıyaman, Kilis
21200;21150.0;TRC2;Şanlıurfa, Diyarbakır
21230;21150.0;TRC3;Mardin, Batman, Şırnak, Siirt
21290;21280.0;TRZZ;Extra-Regio NUTS 2
