Code_x;Parent_x;NUTS-Code_x;Description_x;Code_y;Parent_y;NUTS-Code_y;Description_y
10820;9750.0;ITI;Centro (IT);10940;10820.0;ITI2;Umbria
10820;9750.0;ITI;Centro (IT);10970;10820.0;ITI3;Marche
10820;9750.0;ITI;Centro (IT);11030;10820.0;ITI4;Lazio
11090;9750.0;ITZ;Extra-Regio NUTS 1;11100;11090.0;ITZZ;Extra-Regio NUTS 2
11130;11120.0;CY0;Κύπρος (Kypros);11140;11130.0;CY00;Κύπρος (Kypros)
11160;11120.0;CYZ;Extra-Regio NUTS 1;11170;11160.0;CYZZ;Extra-Regio NUTS 2
11200;11190.0;LV0;Latvija;11210;11200.0;LV00;Latvija
11280;11190.0;LVZ;Extra-Regio NUTS 1;11290;11280.0;LVZZ;Extra-Regio NUTS 2
11320;11310.0;LT0;Lietuva;11330;11320.0;LT01;Sostinės regionas
11320;11310.0;LT0;Lietuva;11350;11320.0;LT02;Vidurio ir vakarų Lietuvos regionas
11450;11310.0;LTZ;Extra-Regio NUTS 1;11460;11450.0;LTZZ;Extra-Regio NUTS 2
11490;11480.0;LU0;Luxembourg;11500;11490.0;LU00;Luxembourg
11520;11480.0;LUZ;Extra-Regio NUTS 1;11530;11520.0;LUZZ;Extra-Regio NUTS 2
11560;11550.0;HU1;Közép-Magyarország;11570;11560.0;HU11;Budapest
11560;11550.0;HU1;Közép-Magyarország;11590;11560.0;HU12;Pest
11610;11550.0;HU2;Dunántúl;11620;11610.0;HU21;Közép-Dunántúl
11610;11550.0;HU2;Dunántúl;11660;11610.0;HU22;Nyugat-Dunántúl
11610;11550.0;HU2;Dunántúl;11700;11610.0;HU23;Dél-Dunántúl
11740;11550.0;HU3;Alföld és Észak;11750;11740.0;HU31;Észak-Magyarország
11740;11550.0;HU3;Alföld és Észak;11790;11740.0;HU32;Észak-Alföld
11740;11550.0;HU3;Alföld és Észak;11830;11740.0;HU33;Dél-Alföld
11870;11550.0;HUZ;Extra-Regio NUTS 1;11880;11870.0;HUZZ;Extra-Regio NUTS 2
11910;11900.0;MT0;Malta;11920;11910.0;MT00;Malta
11950;11900.0;MTZ;Extra-Regio NUTS 1;11960;11950.0;MTZZ;Extra-Regio NUTS 2
11990;11980.0;NL1;Noord-Nederland;12000;11990.0;NL11;Groningen
11990;11980.0;NL1;Noord-Nederland;12040;11990.0;NL12;Friesland (NL)
11990;11980.0;NL1;Noord-Nederland;12080;11990.0;NL13;Drenthe
12120;11980.0;NL2;Oost-Nederland;12130;12120.0;NL21;Overijssel
12120;11980.0;NL2;Oost-Nederland;12170;12120.0;NL22;Gelderland
12120;11980.0;NL2;Oost-Nederland;12220;12120.0;NL23;Flevoland
12240;11980.0;NL3;West-Nederland;12250;12240.0;NL31;Utrecht
12240;11980.0;NL3;West-Nederland;12270;12240.0;NL32;Noord-Holland
12240;11980.0;NL3;West-Nederland;12350;12240.0;NL33;Zuid-Holland
12240;11980.0;NL3;West-Nederland;12420;12240.0;NL34;Zeeland
12450;11980.0;NL4;Zuid-Nederland;12460;12450.0;NL41;Noord-Brabant
12450;11980.0;NL4;Zuid-Nederland;12510;12450.0;NL42;Limburg (NL)
12550;11980.0;NLZ;Extra-Regio NUTS 1;12560;12550.0;NLZZ;Extra-Regio NUTS 2
12590;12580.0;AT1;Ostösterreich;12600;12590.0;AT11;Burgenland
12590;12580.0;AT1;Ostösterreich;12640;12590.0;AT12;Niederösterreich
12590;12580.0;AT1;Ostösterreich;12720;12590.0;AT13;Wien
12740;12580.0;AT2;Südösterreich;12750;12740.0;AT21;Kärnten
12740;12580.0;AT2;Südösterreich;12790;12740.0;AT22;Steiermark
12860;12580.0;AT3;Westösterreich;12870;12860.0;AT31;Oberösterreich
12860;12580.0;AT3;Westösterreich;12930;12860.0;AT32;Salzburg
12860;12580.0;AT3;Westösterreich;12970;12860.0;AT33;Tirol
12860;12580.0;AT3;Westösterreich;13030;12860.0;AT34;Vorarlberg
13060;12580.0;ATZ;Extra-Regio NUTS 1;13070;13060.0;ATZZ;Extra-Regio NUTS 2
13100;13090.0;PL2;Makroregion południowy;13110;13100.0;PL21;Małopolskie
13100;13090.0;PL2;Makroregion południowy;13180;13100.0;PL22;Śląskie
13270;13090.0;PL4;Makroregion północno-zachodni;13280;13270.0;PL41;Wielkopolskie
13270;13090.0;PL4;Makroregion północno-zachodni;13350;13270.0;PL42;Zachodniopomorskie
13270;13090.0;PL4;Makroregion północno-zachodni;13400;13270.0;PL43;Lubuskie
13430;13090.0;PL5;Makroregion południowo-zachodni;13440;13430.0;PL51;Dolnośląskie
13430;13090.0;PL5;Makroregion południowo-zachodni;13500;13430.0;PL52;Opolskie
13530;13090.0;PL6;Makroregion północny;13540;13530.0;PL61;Kujawsko-pomorskie
13530;13090.0;PL6;Makroregion północny;13600;13530.0;PL62;Warmińsko-mazurskie
13530;13090.0;PL6;Makroregion północny;13640;13530.0;PL63;Pomorskie
13700;13090.0;PL7;Makroregion centralny;13710;13700.0;PL71;Łódzkie
13700;13090.0;PL7;Makroregion centralny;13780;13700.0;PL72;Świętokrzyskie
13810;13090.0;PL8;Makroregion wschodni;13820;13810.0;PL81;Lubelskie
13810;13090.0;PL8;Makroregion wschodni;13870;13810.0;PL82;Podkarpackie
13810;13090.0;PL8;Makroregion wschodni;13920;13810.0;PL84;Podlaskie
13960;13090.0;PL9;Makroregion województwo mazowieckie;13970;13960.0;PL91;Warszawski stołeczny
13960;13090.0;PL9;Makroregion województwo mazowieckie;14010;13960.0;PL92;Mazowiecki regionalny
14080;13090.0;PLZ;Extra-Regio NUTS 1;14090;14080.0;PLZZ;Extra-Regio NUTS 2
14120;14110.0;PT1;Continente;14130;14120.0;PT11;Norte
14120;14110.0;PT1;Continente;14220;14120.0;PT15;Algarve
14120;14110.0;PT1;Continente;14240;14120.0;PT16;Centro (PT)
14120;14110.0;PT1;Continente;14330;14120.0;PT17;Área Metropolitana de Lisboa
14120;14110.0;PT1;Continente;14350;14120.0;PT18;Alentejo
14410;14110.0;PT2;Região Autónoma dos Açores;14420;14410.0;PT20;Região Autónoma dos Açores
14440;14110.0;PT3;Região Autónoma da Madeira;14450;14440.0;PT30;Região Autónoma da Madeira
14470;14110.0;PTZ;Extra-Regio NUTS 1;14480;14470.0;PTZZ;Extra-Regio NUTS 2
14510;14500.0;RO1;Macroregiunea Unu;14520;14510.0;RO11;Nord-Vest
14510;14500.0;RO1;Macroregiunea Unu;14590;14510.0;RO12;Centru
14660;14500.0;RO2;Macroregiunea Doi;14670;14660.0;RO21;Nord-Est
14660;14500.0;RO2;Macroregiunea Doi;14740;14660.0;RO22;Sud-Est
